"work","workDate","relatedConceptsWork"
"https://semopenalex.org/work/W4306876895","2023-04-01","https://semopenalex.org/concept/C71924100"
"https://semopenalex.org/work/W4306876895","2023-04-01","https://semopenalex.org/concept/C126322002"
"https://semopenalex.org/work/W4306876895","2023-04-01","https://semopenalex.org/concept/C127413603"
"https://semopenalex.org/work/W4306876895","2023-04-01","https://semopenalex.org/concept/C192562407"
"https://semopenalex.org/work/W4306876895","2023-04-01","https://semopenalex.org/concept/C171250308"
"https://semopenalex.org/work/W4306876895","2023-04-01","https://semopenalex.org/concept/C121608353"
"https://semopenalex.org/work/W4306876895","2023-04-01","https://semopenalex.org/concept/C183696295"
"https://semopenalex.org/work/W4306876895","2023-04-01","https://semopenalex.org/concept/C2983331546"
"https://semopenalex.org/work/W4306876895","2023-04-01","https://semopenalex.org/concept/C3019816032"
"https://semopenalex.org/work/W4296121379","2023-03-01","https://semopenalex.org/concept/C71924100"
"https://semopenalex.org/work/W4296121379","2023-03-01","https://semopenalex.org/concept/C126322002"
"https://semopenalex.org/work/W4296121379","2023-03-01","https://semopenalex.org/concept/C192562407"
"https://semopenalex.org/work/W4296121379","2023-03-01","https://semopenalex.org/concept/C171250308"
"https://semopenalex.org/work/W4296121379","2023-03-01","https://semopenalex.org/concept/C191897082"
"https://semopenalex.org/work/W4296121379","2023-03-01","https://semopenalex.org/concept/C121608353"
"https://semopenalex.org/work/W4296121379","2023-03-01","https://semopenalex.org/concept/C15083742"
"https://semopenalex.org/work/W4296121379","2023-03-01","https://semopenalex.org/concept/C2777230088"
"https://semopenalex.org/work/W4296121379","2023-03-01","https://semopenalex.org/concept/C155672457"
"https://semopenalex.org/work/W4296121379","2023-03-01","https://semopenalex.org/concept/C2983331546"
"https://semopenalex.org/work/W4296121379","2023-03-01","https://semopenalex.org/concept/C18150654"
"https://semopenalex.org/work/W4296121379","2023-03-01","https://semopenalex.org/concept/C182606246"
"https://semopenalex.org/work/W4296121379","2023-03-01","https://semopenalex.org/concept/C2779820397"
"https://semopenalex.org/work/W4295955392","2023-03-01","https://semopenalex.org/concept/C86803240"
"https://semopenalex.org/work/W4295955392","2023-03-01","https://semopenalex.org/concept/C104317684"
"https://semopenalex.org/work/W4295955392","2023-03-01","https://semopenalex.org/concept/C54355233"
"https://semopenalex.org/work/W4295955392","2023-03-01","https://semopenalex.org/concept/C41008148"
"https://semopenalex.org/work/W4295955392","2023-03-01","https://semopenalex.org/concept/C192562407"
"https://semopenalex.org/work/W4295955392","2023-03-01","https://semopenalex.org/concept/C171250308"
"https://semopenalex.org/work/W4295955392","2023-03-01","https://semopenalex.org/concept/C121608353"
"https://semopenalex.org/work/W4295955392","2023-03-01","https://semopenalex.org/concept/C60644358"
"https://semopenalex.org/work/W4295955392","2023-03-01","https://semopenalex.org/concept/C70721500"
"https://semopenalex.org/work/W4295955392","2023-03-01","https://semopenalex.org/concept/C2983331546"
"https://semopenalex.org/work/W4295955392","2023-03-01","https://semopenalex.org/concept/C98108389"
"https://semopenalex.org/work/W4295955392","2023-03-01","https://semopenalex.org/concept/C132455925"
"https://semopenalex.org/work/W4295955392","2023-03-01","https://semopenalex.org/concept/C144501496"
"https://semopenalex.org/work/W4308374388","2023-02-01","https://semopenalex.org/concept/C71924100"
"https://semopenalex.org/work/W4308374388","2023-02-01","https://semopenalex.org/concept/C86803240"
"https://semopenalex.org/work/W4308374388","2023-02-01","https://semopenalex.org/concept/C126322002"
"https://semopenalex.org/work/W4308374388","2023-02-01","https://semopenalex.org/concept/C185592680"
"https://semopenalex.org/work/W4308374388","2023-02-01","https://semopenalex.org/concept/C121332964"
"https://semopenalex.org/work/W4308374388","2023-02-01","https://semopenalex.org/concept/C62520636"
"https://semopenalex.org/work/W4308374388","2023-02-01","https://semopenalex.org/concept/C178790620"
"https://semopenalex.org/work/W4308374388","2023-02-01","https://semopenalex.org/concept/C192562407"
"https://semopenalex.org/work/W4308374388","2023-02-01","https://semopenalex.org/concept/C171250308"
"https://semopenalex.org/work/W4308374388","2023-02-01","https://semopenalex.org/concept/C91881484"
"https://semopenalex.org/work/W4308374388","2023-02-01","https://semopenalex.org/concept/C121608353"
"https://semopenalex.org/work/W4308374388","2023-02-01","https://semopenalex.org/concept/C150903083"
"https://semopenalex.org/work/W4308374388","2023-02-01","https://semopenalex.org/concept/C207001950"
"https://semopenalex.org/work/W4308374388","2023-02-01","https://semopenalex.org/concept/C2781323092"
"https://semopenalex.org/work/W4308374388","2023-02-01","https://semopenalex.org/concept/C2983331546"
"https://semopenalex.org/work/W4308374388","2023-02-01","https://semopenalex.org/concept/C182606246"
"https://semopenalex.org/work/W4308374388","2023-02-01","https://semopenalex.org/concept/C2781374752"
"https://semopenalex.org/work/W4308374388","2023-02-01","https://semopenalex.org/concept/C136339569"
"https://semopenalex.org/work/W4223962817","2023-01-01","https://semopenalex.org/concept/C71924100"
"https://semopenalex.org/work/W4223962817","2023-01-01","https://semopenalex.org/concept/C86803240"
"https://semopenalex.org/work/W4223962817","2023-01-01","https://semopenalex.org/concept/C126322002"
"https://semopenalex.org/work/W4223962817","2023-01-01","https://semopenalex.org/concept/C185592680"
"https://semopenalex.org/work/W4223962817","2023-01-01","https://semopenalex.org/concept/C55493867"
"https://semopenalex.org/work/W4223962817","2023-01-01","https://semopenalex.org/concept/C95444343"
"https://semopenalex.org/work/W4223962817","2023-01-01","https://semopenalex.org/concept/C178790620"
"https://semopenalex.org/work/W4223962817","2023-01-01","https://semopenalex.org/concept/C192562407"
"https://semopenalex.org/work/W4223962817","2023-01-01","https://semopenalex.org/concept/C171250308"
"https://semopenalex.org/work/W4223962817","2023-01-01","https://semopenalex.org/concept/C121608353"
"https://semopenalex.org/work/W4223962817","2023-01-01","https://semopenalex.org/concept/C1491633281"
"https://semopenalex.org/work/W4223962817","2023-01-01","https://semopenalex.org/concept/C2777230088"
"https://semopenalex.org/work/W4223962817","2023-01-01","https://semopenalex.org/concept/C2983331546"
